Title,Price,Page
Honor X9d - AMOLED LCD - 6.79 Inches Display - 12GB RAM 256GB ROM - 16MP Front Camera - 108MP+5MP Rear Camera - Snapdragon 6 Gen 4 Chipset - Dual SIM - 8300mAh Battery,"Rs. 117,999",2
Google Pixel 6a Official PTA Approved 6 GB - 128 GB Dual Sim,"Rs. 64,000",2
Vivo Y19 | 4GB RAM | 128GB Storage | Dual Sim | PTA Approve | 5000 MAH Big Battery | Dual Speaker | FingerPrint + Face Unlock | Vivo Mobile On Installment,"Rs. 21,953",2
Honor X9d - 6.79 Inches Display - 12GB RAM 256GB ROM - 16MP Front Camera - 108MP+5MP Rear Camera - Dual SIM - 8300mAh Battery,"Rs. 116,999",2
"Infinix Note 60 Pro 5G 8GB + 8GB Ram 256GB Rom || 6.78 Inches AMOLED 144Hz 1.5K Display || IP64 , Snapdragon 7s Gen 4 || 6500 mAh Fast Charging 90W || Wireless 30W,","Rs. 115,000",2
Google Pixel 7 Official PTA Approved 8 GB - 128/256 GB Dual Sim,"Rs. 76,000",2
"Vivo Y66 | Dual Sim | PTA Approve | 4GB Ram 64GB Storage | Long Lasting 3000 MAH Battery | Memory Card Suppirt | Vivo Box , Charger Sim Injector Tool & Phone | Vivo Mobile | Mobile Phone On Easy Installment | Whatsapp , Youtube Facebook & Tiktok Working","Rs. 17,395",2
Samsung Galaxy A07 4GB+128GB - PTA APPROVED,"Rs. 31,999",2
Google Pixel 7a Official PTA Approved 8 GB - 128 GB Dual Sim,"Rs. 74,000",2
Samsung Galaxy S26 Ultra - 256 GB,"Rs. 424,999",2
vivo V70 - 12GB RAM - 256GB/512GB ROM - 50MP ZEISS Camera - 6500 mAh Battery - SDM 7 Gen 4 Processor,"Rs. 169,999",2
Google Pixel 8 Official PTA Approved 8 GB - 128 GB Dual Sim,"Rs. 112,000",2
"Vivo Y20s | 8GB Ram 128GB Storage | 5000 MAH Battery + 18w Fast Charging | PTA Approve | Side FingerPrint | 6.51"" HD+ Halo Big Display | 13MP AI Triple Camera | Phone, Box, Charger | Mobile Phone On Installment","Rs. 28,105",2
Apple iPhone 17 Pro - 256GB - PTA APPROVED,"Rs. 487,999",2
"Infinix Note 60 Pro 5G 8GB Ram 256GB Rom , 6.78 Inches AMOLED 144Hz 1.5K Display , IP64 , Snapdragon 7s Gen 4 , 6500 mAh Fast Charging 90W , Wireless 30W,","Rs. 114,999",2
"Oppo A57 - 5.2"" HD Display - 3GB RAM - 32GB ROM - Upgraded Android 14 - Dual Sim - Official PTA Approved - Phone Only (Charger, Box and Accessories Not Included)","Rs. 10,999",3
